iter	Passed	Remaining
0	4	4848
1	8	4086
2	10	3561
3	13	3444
4	18	3714
5	22	3692
6	26	3805
7	30	3773
8	34	3827
9	42	4158
10	48	4360
11	51	4207
12	53	4049
13	58	4087
14	61	4028
15	63	3908
16	67	3919
17	70	3837
18	73	3804
19	77	3817
20	80	3735
21	83	3725
22	87	3732
23	91	3714
24	94	3691
25	97	3645
26	101	3662
27	105	3648
28	108	3634
29	111	3618
30	116	3627
31	120	3636
32	123	3620
33	126	3586
34	128	3538
35	132	3534
36	135	3526
37	138	3517
38	141	3478
39	143	3446
40	147	3447
41	151	3455
42	154	3432
43	157	3421
44	161	3419
45	164	3419
46	168	3413
47	171	3405
48	175	3399
49	179	3405
50	183	3417
51	187	3417
52	191	3426
53	196	3450
54	201	3459
55	204	3443
56	207	3433
57	211	3433
58	214	3425
59	217	3403
60	219	3375
61	224	3398
62	231	3447
63	234	3432
64	237	3417
65	241	3415
66	244	3409
67	248	3408
68	252	3401
69	255	3394
70	258	3387
71	261	3367
72	266	3385
73	270	3378
74	274	3383
75	278	3384
76	282	3382
77	285	3369
78	288	3366
79	291	3355
80	295	3349
81	298	3343
82	301	3332
83	304	3319
84	307	3314
85	311	3308
86	314	3302
87	318	3297
88	322	3299
89	325	3294
90	329	3287
91	331	3269
92	334	3258
93	337	3249
94	340	3246
95	344	3241
96	347	3235
97	350	3222
98	352	3207
99	354	3192
100	357	3182
101	360	3173
102	363	3163
103	366	3154
104	368	3140
105	371	3135
106	374	3123
107	376	3112
108	380	3107
109	383	3102
110	386	3098
111	389	3087
112	392	3079
113	395	3075
114	399	3074
115	402	3070
116	405	3059
117	408	3055
118	410	3042
119	413	3030
120	416	3027
121	418	3015
122	422	3010
123	424	3000
124	427	2989
125	430	2988
126	433	2981
127	436	2972
128	439	2965
129	442	2961
130	446	2959
131	450	2962
132	454	2960
133	457	2956
134	460	2952
135	464	2953
136	468	2950
137	471	2946
138	475	2943
139	479	2946
140	487	2967
141	490	2963
142	494	2962
143	497	2959
144	500	2952
145	504	2950
146	507	2946
147	511	2945
148	515	2945
149	519	2942
150	522	2938
151	526	2935
152	528	2923
153	534	2936
154	538	2934
155	542	2933
156	545	2931
157	549	2927
158	552	2924
159	556	2921
160	559	2917
161	563	2913
162	567	2914
163	572	2916
164	578	2926
165	584	2935
166	592	2954
167	613	3038
168	623	3065
169	630	3079
170	642	3113
171	649	3127
172	655	3131
173	660	3136
174	664	3130
175	667	3125
176	672	3127
177	675	3119
178	678	3110
179	681	3104
180	683	3094
181	687	3090
182	691	3085
183	694	3080
184	702	3094
185	705	3088
186	712	3096
187	714	3086
188	718	3082
189	721	3077
190	725	3072
191	731	3078
192	737	3082
193	741	3079
194	745	3078
195	749	3073
196	752	3069
197	756	3063
198	759	3058
199	763	3054
200	768	3055
201	772	3050
202	775	3045
203	779	3040
204	783	3036
205	785	3028
206	789	3022
207	792	3017
208	796	3013
209	800	3012
210	802	3001
211	805	2993
212	808	2985
213	810	2977
214	814	2972
215	817	2967
216	826	2983
217	832	2986
218	837	2987
219	842	2987
220	847	2985
221	850	2979
222	853	2974
223	857	2970
224	861	2968
225	870	2979
226	874	2978
227	881	2984
228	885	2982
